%q Iq Pq Sq Zq Bq Bq2
5.049441400e-03 2.861955499e+01 2.064301496e-12 8.371689415e-02 5.290717456e-03 9.999999979e-01 1.000000000e+00
5.102245200e-03 2.774011750e+01 2.063838035e-12 8.371574930e-02 5.317201148e-03 9.999999979e-01 1.000000000e+00
5.155049000e-03 2.690494627e+01 2.063369844e-12 8.371478317e-02 5.343929607e-03 9.999999978e-01 1.000000000e+00
5.207852800e-03 2.611138989e+01 2.062896923e-12 8.371400553e-02 5.370906178e-03 9.999999978e-01 1.000000000e+00
5.260656500e-03 2.535698197e+01 2.062419285e-12 8.371342626e-02 5.398134211e-03 9.999999978e-01 1.000000000e+00
5.313460300e-03 2.463942097e+01 2.061936919e-12 8.371305532e-02 5.425617275e-03 9.999999977e-01 1.000000000e+00
5.366264100e-03 2.395656582e+01 2.061449838e-12 8.371290280e-02 5.453358847e-03 9.999999977e-01 1.000000000e+00
5.419067900e-03 2.330641798e+01 2.060958041e-12 8.371297888e-02 5.481362519e-03 9.999999976e-01 1.000000000e+00
5.471871700e-03 2.268711207e+01 2.060461531e-12 8.371329386e-02 5.509631953e-03 9.999999976e-01 1.000000000e+00
5.524675500e-03 2.209690578e+01 2.059960311e-12 8.371385813e-02 5.538170874e-03 9.999999975e-01 1.000000000e+00
5.577479300e-03 2.153417070e+01 2.059454386e-12 8.371468220e-02 5.566983079e-03 9.999999975e-01 1.000000000e+00
5.630283100e-03 2.099738385e+01 2.058943754e-12 8.371577670e-02 5.596072436e-03 9.999999974e-01 1.000000000e+00
5.683086900e-03 2.048512007e+01 2.058428426e-12 8.371715234e-02 5.625442885e-03 9.999999974e-01 1.000000000e+00
5.735890700e-03 1.999604475e+01 2.057908398e-12 8.371881997e-02 5.655098441e-03 9.999999973e-01 1.000000000e+00
5.788694500e-03 1.952890745e+01 2.057383676e-12 8.372079053e-02 5.685043194e-03 9.999999973e-01 1.000000000e+00
5.841498300e-03 1.908253585e+01 2.056854265e-12 8.372307509e-02 5.715281313e-03 9.999999972e-01 1.000000000e+00
5.894302000e-03 1.865583098e+01 2.056320164e-12 8.372568482e-02 5.745816987e-03 9.999999972e-01 1.000000000e+00
5.947105800e-03 1.824775902e+01 2.055781380e-12 8.372863103e-02 5.776654665e-03 9.999999971e-01 1.000000000e+00
5.999909600e-03 1.785735135e+01 2.055237912e-12 8.373192511e-02 5.807798700e-03 9.999999971e-01 1.000000000e+00
6.052713400e-03 1.748369709e+01 2.054689768e-12 8.373557860e-02 5.839253594e-03 9.999999970e-01 1.000000000e+00
6.105517200e-03 1.712593979e+01 2.054136949e-12 8.373960314e-02 5.871023934e-03 9.999999970e-01 1.000000000e+00
6.158321000e-03 1.678327384e+01 2.053579457e-12 8.374401051e-02 5.903114399e-03 9.999999969e-01 1.000000000e+00
6.211124800e-03 1.645494104e+01 2.053017299e-12 8.374881259e-02 5.935529758e-03 9.999999969e-01 1.000000000e+00
6.263928600e-03 1.614022740e+01 2.052450476e-12 8.375402139e-02 5.968274875e-03 9.999999968e-01 1.000000000e+00
6.316732400e-03 1.583846028e+01 2.051878990e-12 8.375964907e-02 6.001354715e-03 9.999999968e-01 1.000000000e+00
6.369536200e-03 1.554900563e+01 2.051302847e-12 8.376570787e-02 6.034774337e-03 9.999999967e-01 1.000000000e+00
6.422339900e-03 1.527126607e+01 2.050722052e-12 8.377221019e-02 6.068538841e-03 9.999999967e-01 1.000000000e+00
6.475143700e-03 1.500467637e+01 2.050136605e-12 8.377916857e-02 6.102653623e-03 9.999999966e-01 1.000000000e+00
6.527947500e-03 1.474870456e+01 2.049546509e-12 8.378659567e-02 6.137123996e-03 9.999999965e-01 1.000000000e+00
6.580751300e-03 1.450284774e+01 2.048951769e-12 8.379450427e-02 6.171955445e-03 9.999999965e-01 1.000000000e+00
6.633555100e-03 1.426663076e+01 2.048352390e-12 8.380290731e-02 6.207153570e-03 9.999999964e-01 1.000000000e+00
6.686358900e-03 1.403960449e+01 2.047748375e-12 8.381181785e-02 6.242724086e-03 9.999999964e-01 1.000000000e+00
6.739162700e-03 1.382134421e+01 2.047139725e-12 8.382124911e-02 6.278672827e-03 9.999999963e-01 1.000000000e+00
6.791966500e-03 1.361144814e+01 2.046526446e-12 8.383121443e-02 6.315005749e-03 9.999999963e-01 1.000000000e+00
6.844770200e-03 1.340953637e+01 2.045908543e-12 8.384172729e-02 6.351728867e-03 9.999999962e-01 1.000000000e+00
6.897574000e-03 1.321524804e+01 2.045286017e-12 8.385280139e-02 6.388848529e-03 9.999999961e-01 1.000000000e+00
6.950377800e-03 1.302824250e+01 2.044658873e-12 8.386445049e-02 6.426371012e-03 9.999999961e-01 1.000000000e+00
7.003181600e-03 1.284819652e+01 2.044027114e-12 8.387668856e-02 6.464302796e-03 9.999999960e-01 1.000000000e+00
7.055985400e-03 1.267480373e+01 2.043390744e-12 8.388952969e-02 6.502650501e-03 9.999999960e-01 1.000000000e+00
7.108789200e-03 1.250777354e+01 2.042749768e-12 8.390298817e-02 6.541420893e-03 9.999999959e-01 1.000000000e+00
7.161593000e-03 1.234683030e+01 2.042104188e-12 8.391707841e-02 6.580620884e-03 9.999999958e-01 1.000000000e+00
